time,pitch,pitch_filt
3.600,21.0797, 20.7934
3.604,21.1567, 20.8719
3.608,21.2341, 20.9502
3.612,21.3100, 21.0279
3.616,21.3846, 21.1051
3.620,21.4587, 21.1817
3.624,21.5316, 21.2574
3.628,21.6042, 21.3323
3.632,21.6765, 21.4062
3.636,21.7520, 21.4795
3.640,21.8169, 21.5524
3.644,21.8966, 21.6247
3.648,21.9646, 21.6969
3.652,22.0370, 21.7689
3.656,22.1103, 21.8409
3.660,22.1825, 21.9126
3.664,22.2562, 21.9852
3.668,22.3270, 22.0570
3.672,22.3996, 22.1296
3.676,22.4711, 22.2019
3.680,22.5422, 22.2739
3.684,22.6149, 22.3457
3.688,22.6872, 22.4173
3.692,22.7568, 22.4890
3.696,22.8286, 22.5605
3.700,22.8993, 22.6319
3.704,22.9690, 22.7031
3.708,23.0402, 22.7739
3.712,23.1114, 22.8443
3.716,23.1825, 22.9150
3.720,23.2547, 22.9856
3.724,23.3259, 23.0565
3.728,23.3979, 23.1277
3.732,23.4693, 23.1991
3.736,23.5446, 23.2707
3.740,23.6113, 23.3425
3.744,23.6902, 23.4143
3.748,23.7589, 23.4864
3.752,23.8330, 23.5587
3.756,23.9068, 23.6312
3.760,23.9818, 23.7037
3.764,24.0573, 23.7772
3.768,24.1332, 23.8505
3.772,24.2117, 23.9252
3.776,24.2885, 24.0006
3.780,24.3666, 24.0767
3.784,24.4480, 24.1536
3.788,24.5294, 24.2314
3.792,24.6143, 24.3103
3.796,24.7017, 24.3905
3.800,24.7896, 24.4727
